ticker,company,first_seen,last_seen,active,source_first_seen,source_last_seen
A,Agilent Technologies,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
AA,Alcoa,2012-01-01,2016-11-01,False,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
AAL,American Airlines Group,2015-03-23,2024-09-23,False,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
AAP,Advance Auto Parts,2015-07-08,2023-08-25,False,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
AAPL,Apple Inc.,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ABBV,AbbVie,2013-01-02,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ABMD,Abiomed,2018-05-31,2022-12-22,False,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ABNB,Airbnb,2023-09-18,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ABT,Abbott Laboratories,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ACE,Chubb,2012-01-01,2016-01-19,False,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ACGL,Arch Capital Group,2022-11-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ACN,Accenture,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ADBE,Adobe Inc.,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ADI,Analog Devices,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ADM,Archer Daniels Midland,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ADP,Automatic Data Processing,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ADS,Alliance Data Systems,2013-12-23,2020-06-22,False,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ADSK,Autodesk,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
ADT,ADT,2012-10-01,2016-05-03,False,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
AEE,Ameren,2012-01-01,,True,wikipedia_sp500_reconstructed,wikipedia_sp500_reconstructed
