ticker,company,sector,sub_industry,date_added_raw,source
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2000-06-05,wikipedia_current_constituents
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,wikipedia_current_constituents
ABBV,AbbVie,Health Care,Biotechnology,2012-12-31,wikipedia_current_constituents
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2023-09-18,wikipedia_current_constituents
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1957-03-04,wikipedia_current_constituents
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2022-11-01,wikipedia_current_constituents
ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06,wikipedia_current_constituents
ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05,wikipedia_current_constituents
ADI,Analog Devices,Information Technology,Semiconductors,1999-10-12,wikipedia_current_constituents
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,1957-03-04,wikipedia_current_constituents
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1981-03-31,wikipedia_current_constituents
ADSK,Autodesk,Information Technology,Application Software,1989-12-01,wikipedia_current_constituents
AEE,Ameren,Utilities,Multi-Utilities,1991-09-19,wikipedia_current_constituents
AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04,wikipedia_current_constituents
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1998-10-02,wikipedia_current_constituents
AFL,Aflac,Financials,Life & Health Insurance,1999-05-28,wikipedia_current_constituents
AIG,American International Group,Financials,Multi-line Insurance,1980-03-31,wikipedia_current_constituents
AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10,wikipedia_current_constituents
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31,wikipedia_current_constituents
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2007-07-12,wikipedia_current_constituents
ALB,Albemarle Corporation,Materials,Specialty Chemicals,2016-07-01,wikipedia_current_constituents
ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19,wikipedia_current_constituents
ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13,wikipedia_current_constituents
ALLE,Allegion,Industrials,Building Products,2013-12-02,wikipedia_current_constituents
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1995-03-16,wikipedia_current_constituents
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,2019-06-07,wikipedia_current_constituents
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2017-03-20,wikipedia_current_constituents
AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,wikipedia_current_constituents
AMGN,Amgen,Health Care,Biotechnology,1992-01-02,wikipedia_current_constituents
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03,wikipedia_current_constituents
AMT,American Tower,Real Estate,Telecom Tower REITs,2007-11-19,wikipedia_current_constituents
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2005-11-18,wikipedia_current_constituents
ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28,wikipedia_current_constituents
AON,Aon plc,Financials,Insurance Brokers,1996-04-23,wikipedia_current_constituents
AOS,A. O. Smith,Industrials,Building Products,2017-07-26,wikipedia_current_constituents
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28,wikipedia_current_constituents
