ticker,source_symbol,company,source,source_detail,fetched_at_utc
MMM,MMM,3M,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AOS,AOS,A. O. Smith,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ABT,ABT,Abbott Laboratories,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ABBV,ABBV,AbbVie,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ACN,ACN,Accenture,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ADBE,ADBE,Adobe Inc.,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AMD,AMD,Advanced Micro Devices,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AES,AES,AES Corporation,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AFL,AFL,Aflac,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
A,A,Agilent Technologies,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
APD,APD,Air Products,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ABNB,ABNB,Airbnb,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AKAM,AKAM,Akamai Technologies,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ALB,ALB,Albemarle Corporation,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ARE,ARE,Alexandria Real Estate Equities,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ALGN,ALGN,Align Technology,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ALLE,ALLE,Allegion,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
LNT,LNT,Alliant Energy,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ALL,ALL,Allstate,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
GOOGL,GOOGL,Alphabet Inc. (Class A),wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
GOOG,GOOG,Alphabet Inc. (Class C),wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
MO,MO,Altria,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AMZN,AMZN,Amazon,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AMCR,AMCR,Amcor,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AEE,AEE,Ameren,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AEP,AEP,American Electric Power,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AXP,AXP,American Express,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AIG,AIG,American International Group,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AMT,AMT,American Tower,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AWK,AWK,American Water Works,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AMP,AMP,Ameriprise Financial,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AME,AME,Ametek,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AMGN,AMGN,Amgen,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
APH,APH,Amphenol,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
ADI,ADI,Analog Devices,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
AON,AON,Aon plc,wikipedia_sp500,wikipedia_sp500,2026-05-28T16:39:12+00:00
